Company1,Company2,ClusterID,Correlation,ADFStat,p-value
39721,39842,4_2011,0.9087045368346793,-9.612996136454823,1.7909054373754814e-16
12932,43716,6_2013,0.9087045368346794,-9.612996136454823,1.7909054373754814e-16
39721,40231,4_2011,0.9222969777468307,-9.5772779125777,2.2060857609612414e-16
43716,45049,6_2013,0.9222969777468307,-9.5772779125777,2.2060857609612414e-16
13103,45073,6_2013,0.9106915023005433,-8.174341067529706,8.456051663286573e-13
41795,42877,5_2012,0.9106915023005433,-8.174341067529706,8.456051663286573e-13
12256,12460,4_2011,0.9054703189726213,-7.786124690913271,8.170994350318503e-12
12460,40537,4_2011,0.908741206488858,-7.201560568903211,2.3581585196307417e-10
38999,39056,4_2011,0.9075675577354954,-5.446069241386639,2.7088193277428874e-06
39991,40736,4_2011,0.9631976163716109,-5.215706274106024,8.165620823860087e-06
18467,40736,4_2011,0.9497598087352875,-5.0803658195966035,1.5351003801348504e-05
40262,40957,4_2011,0.9025804660305592,-5.030399459050275,1.9315561925126615e-05
39289,40884,4_2011,0.9036093359254158,-5.028526734165897,1.9481900515152432e-05
39011,40736,4_2011,0.9359200164724866,-4.985361349642922,2.3722251193946805e-05
43638,44670,6_2013,0.9594897096377576,-4.971920000962187,2.5215354748839518e-05
41624,42863,5_2012,0.9594897096377576,-4.971920000962187,2.5215354748839518e-05
18438,18467,4_2011,0.9594897096377576,-4.971920000962187,2.5215354748839518e-05
39850,40940,4_2011,0.9051396137656113,-4.970918496783306,2.5330159208856818e-05
38911,40583,4_2011,0.9237651357096032,-4.950097754730889,2.7834176317807656e-05
12657,42892,5_2012,0.9189394248357383,-4.795463302087299,5.548321826062625e-05
42342,42877,5_2012,0.9039877905972803,-4.786399612897182,5.773938856264042e-05
44164,45073,6_2013,0.9039877905972803,-4.786399612897182,5.773938856264042e-05
19066,45529,6_2013,0.9028810235767394,-4.633453890422006,0.00011202102132878042
18369,40231,4_2011,0.9196026428747034,-4.582892752014916,0.00013887993112987536
43274,43361,5_2012,0.9196026428747035,-4.582892752014916,0.00013887993112987536
43855,45049,6_2013,0.9196026428747034,-4.582892752014916,0.00013887993112987536
39289,40958,4_2011,0.9126202240466339,-4.52564891748305,0.00017668755188841517
41456,42955,5_2012,0.9751814323055313,-4.523439668927387,0.00017832724709132425
39357,39474,4_2011,0.9751814323055311,-4.523439668927387,0.00017832724709132425
39724,40467,4_2011,0.900177904291854,-4.513874117159045,0.00018559536426047873
39781,40101,4_2011,0.907110012870094,-4.485996784902889,0.00020841938209378508
